sebum_level,hydration_level,ph_level,skin_temperature,pore_size,oil_shine,wrinkle_score,roughness_score,elasticity_score,sensitivity_score,redness_level,itchiness_score,pigmentation_level,dark_spot_score,uneven_tone_score,acne_frequency,blackhead_score,whitehead_score,tightness_score,flakiness_score,sun_exposure_hours,pollution_exposure_index,water_intake_liters,sleep_hours,skin_type
27.57,37.66,4.11,30.79,6.36,4.02,6.46,3.74,26.71,9.76,7.64,4.17,4.08,4.02,4.98,8.42,9.31,2.34,7.75,1.03,1.96,69.72,1.33,5.24,Sensitive
48.55,62.73,7.16,33.15,5.58,2.67,6.35,2.42,89.35,1.1,5.01,2.14,2.73,5.79,8.73,1.54,0.31,5.9,8.83,3.99,7.4,43.2,0.7,7.19,Normal
112.74,39.04,5.96,34.7,4.26,6.76,8.76,0.74,78.17,8.46,8.7,2.13,4.74,8.49,2.79,9.88,4.0,7.01,6.62,1.94,6.45,64.56,3.61,4.52,Oily
95.06,87.18,4.96,35.18,3.13,5.7,4.96,8.9,21.92,8.19,6.67,2.0,5.89,2.31,6.68,8.21,8.72,4.27,2.89,4.41,8.54,41.75,2.96,7.39,Combination
109.79,70.14,5.0,33.7,3.95,2.52,3.37,9.35,91.88,0.85,6.6,4.24,1.23,8.58,5.42,2.69,6.67,4.48,3.27,6.28,0.83,4.05,0.69,8.56,Combination
18.09,55.89,5.91,30.09,5.17,7.58,8.46,9.52,74.11,5.62,6.85,1.87,7.33,4.57,2.01,7.99,7.96,8.87,4.22,6.24,0.26,6.73,2.48,8.37,Sensitive
50.92,60.68,5.95,34.49,8.67,8.46,4.33,2.86,51.38,6.52,3.3,4.26,8.54,7.66,9.83,2.54,5.74,0.39,3.74,5.56,2.83,91.18,2.29,8.59,Normal
47.36,51.88,6.78,30.5,5.81,3.34,2.96,1.31,29.15,9.24,4.85,5.38,0.23,2.62,7.56,2.89,7.99,0.02,8.97,8.83,0.03,7.36,2.54,6.96,Sensitive
24.48,68.37,6.85,34.23,3.66,2.41,3.88,1.22,60.34,7.82,7.44,6.71,1.23,9.04,3.97,6.98,8.85,8.24,1.35,9.31,9.78,85.93,3.81,4.16,Sensitive
105.67,79.25,6.71,34.42,3.39,9.55,5.39,2.04,50.02,0.36,3.57,7.77,4.83,8.19,9.32,1.79,9.53,6.43,4.16,7.57,5.48,74.73,2.15,3.21,Combination
14.18,22.56,4.68,31.16,4.37,7.2,2.0,3.18,91.74,3.71,7.76,4.37,5.62,5.46,4.37,0.06,0.43,5.85,0.46,8.83,1.62,21.65,4.37,6.78,Sensitive
32.09,74.12,5.38,33.29,8.25,8.26,7.11,4.75,37.86,4.75,8.77,0.91,7.88,3.08,7.41,8.44,7.06,8.19,8.78,0.06,6.47,45.52,3.94,7.8,Sensitive
64.63,60.37,5.94,31.56,3.76,0.89,3.0,4.28,40.44,1.94,4.41,3.27,4.3,2.72,2.4,2.6,4.4,2.44,6.83,1.71,1.49,33.56,1.38,3.79,Combination
115.06,85.97,6.48,30.65,9.11,4.77,6.52,4.54,81.19,3.44,5.31,7.78,7.46,1.97,2.13,1.28,4.63,1.03,4.46,7.14,6.49,73.79,2.87,3.62,Combination
11.89,18.37,7.02,32.15,1.97,3.93,2.63,5.48,94.45,6.95,4.19,1.67,7.0,5.46,8.93,5.94,6.93,3.12,0.83,8.55,8.8,26.68,3.42,6.77,Normal
93.91,43.73,4.68,34.16,5.5,4.34,2.13,3.42,63.25,4.27,2.11,3.22,4.63,8.09,4.23,5.94,0.21,4.46,9.76,8.9,0.67,9.44,3.0,3.21,Normal
41.84,26.61,4.69,33.01,2.36,5.51,5.45,1.34,90.97,8.5,4.98,1.25,0.4,6.37,0.17,8.72,8.52,3.24,1.95,4.46,6.11,77.21,3.84,5.21,Sensitive
71.87,74.73,6.55,31.39,9.97,0.14,5.08,2.34,88.6,2.26,3.28,7.73,7.54,6.09,5.15,9.07,3.58,6.06,4.85,6.97,8.56,85.35,4.48,7.04,Combination
19.14,29.13,7.31,31.3,5.92,9.49,9.24,1.79,45.9,2.62,5.51,9.64,6.94,3.2,5.7,8.72,1.99,9.75,4.43,8.09,7.76,23.88,2.87,8.68,Sensitive
79.71,23.71,4.12,36.37,3.71,5.07,2.82,3.28,93.14,8.81,2.36,5.73,5.79,9.66,9.61,8.43,2.11,5.69,7.28,5.42,4.36,9.09,3.83,6.51,Dry
48.34,59.33,5.5,36.47,7.02,4.28,4.75,2.55,61.17,2.05,5.41,9.94,2.09,6.41,7.79,0.64,8.08,4.14,5.39,8.59,0.86,6.96,1.16,5.75,Sensitive
71.4,26.54,4.68,30.46,9.13,1.61,8.58,5.26,67.59,5.7,4.68,5.25,7.03,6.11,1.85,4.17,5.6,6.65,1.46,5.75,2.84,64.89,1.25,4.91,Normal
98.66,27.9,4.71,34.53,9.81,6.94,4.27,2.01,64.26,5.9,9.11,9.55,3.19,1.42,6.49,0.49,8.64,3.77,2.23,5.27,2.67,19.13,4.99,6.43,Sensitive
115.09,72.91,4.31,31.51,8.65,8.48,4.15,4.66,30.61,8.38,3.55,4.81,5.57,8.75,9.76,0.63,4.31,0.78,4.71,0.37,8.19,45.26,4.14,5.91,Combination
78.55,71.51,6.46,32.82,7.42,2.81,2.41,4.38,94.92,0.3,5.22,1.55,7.59,0.56,2.09,3.58,0.28,6.76,5.88,1.91,2.52,86.34,1.38,8.97,Combination
17.6,19.52,4.22,31.16,5.61,9.13,6.96,5.7,28.45,5.38,5.99,8.88,1.0,8.43,1.68,2.26,4.33,3.82,0.3,4.83,3.18,9.58,2.91,8.81,Sensitive
55.94,78.34,4.36,34.01,2.46,8.39,3.27,3.88,99.12,1.3,7.55,4.31,4.4,2.65,9.06,9.46,7.87,1.43,0.09,1.63,9.76,10.19,0.69,8.78,Sensitive
39.25,21.12,5.3,32.4,3.87,6.84,3.21,0.98,45.82,1.99,4.01,5.76,6.42,0.7,6.19,3.93,5.75,0.61,0.25,3.41,2.12,41.24,1.56,5.17,Normal
95.6,24.59,6.21,33.45,9.66,1.23,7.97,8.12,22.55,9.56,6.99,6.86,8.18,4.21,8.55,3.41,3.45,0.49,6.98,7.94,5.96,25.37,0.62,5.24,Dry
98.36,43.37,4.43,35.35,4.83,3.88,9.84,5.51,68.36,2.63,0.3,2.26,2.45,2.87,3.43,1.15,7.02,2.39,1.27,8.68,3.47,90.85,3.08,6.89,Normal
75.94,30.38,4.6,33.39,7.21,5.19,3.38,6.93,41.49,4.19,5.84,6.39,4.77,2.07,8.0,1.25,2.9,6.02,9.91,5.83,8.06,62.75,3.88,8.63,Dry
60.38,66.43,5.45,35.51,3.09,7.56,1.45,1.99,96.68,1.15,3.47,2.49,6.03,3.64,2.12,7.81,8.6,3.37,2.98,9.81,0.51,84.73,3.65,5.59,Combination
26.99,34.66,6.94,31.28,4.04,4.81,4.94,2.25,43.71,1.63,7.6,7.48,0.83,2.83,4.69,1.94,2.57,5.62,7.91,3.52,8.26,35.76,0.87,8.04,Sensitive
47.8,47.97,5.0,35.0,1.67,3.95,6.11,2.18,97.34,1.92,6.43,5.55,8.24,0.56,9.7,5.85,5.16,8.89,6.08,0.67,8.51,55.86,4.63,5.81,Sensitive
65.11,62.05,4.99,31.31,7.66,1.82,4.97,3.14,22.18,5.87,6.56,4.12,7.45,7.55,1.84,5.07,2.21,7.1,4.15,9.02,3.27,11.75,1.88,4.19,Combination
72.41,30.65,7.08,34.73,9.62,8.54,6.03,8.67,75.37,2.78,7.68,3.63,7.46,0.78,4.06,2.48,3.93,6.54,1.4,5.44,0.71,81.06,4.22,6.36,Sensitive
13.87,17.54,5.4,35.11,3.08,9.44,3.9,8.65,80.39,1.19,8.13,2.94,0.54,4.87,4.36,1.08,5.26,3.37,0.18,3.16,3.62,36.75,3.0,6.85,Sensitive
82.28,89.56,6.46,33.06,7.71,9.61,3.76,9.01,63.62,3.47,9.81,8.95,0.73,1.93,4.13,7.77,3.12,4.84,7.74,1.16,5.41,92.82,3.21,5.25,Oily
42.7,45.75,6.68,32.29,4.72,0.39,5.45,6.95,45.82,5.81,4.67,1.18,7.36,2.4,2.72,6.56,5.27,3.47,6.07,2.2,2.26,45.99,1.13,8.07,Normal
75.52,60.72,6.97,33.83,1.85,2.35,8.44,9.55,69.24,2.13,5.99,2.53,2.99,3.46,8.72,2.52,4.75,5.47,2.67,3.33,4.68,46.68,2.85,3.22,Combination
76.86,16.79,4.04,34.86,9.79,0.61,2.67,7.04,90.69,8.96,3.71,5.69,2.89,2.08,3.12,0.92,1.24,4.66,2.98,6.84,4.93,58.27,3.65,5.0,Sensitive
62.48,21.65,4.3,31.66,2.6,6.38,8.91,8.73,45.91,8.02,8.65,8.94,6.73,5.94,2.24,9.24,7.06,6.45,8.27,0.81,6.58,98.79,3.4,4.69,Sensitive
82.98,81.91,6.52,34.88,2.58,4.55,9.78,3.36,29.56,6.38,9.57,3.11,0.28,6.24,2.22,0.67,9.79,9.84,5.33,8.38,7.5,60.4,3.23,6.63,Combination
75.3,63.22,5.41,32.77,8.31,1.11,3.53,9.37,35.4,1.09,7.53,8.75,3.63,9.42,7.96,3.31,6.95,5.12,1.45,9.17,3.01,28.15,1.65,4.89,Combination
101.03,42.56,4.53,34.09,9.14,7.05,0.53,0.18,93.83,9.55,9.02,4.13,6.88,4.61,0.31,0.91,2.15,6.0,2.84,3.95,9.78,11.36,3.31,3.72,Sensitive
46.72,76.82,6.7,33.7,6.22,8.06,0.99,4.19,90.72,0.19,0.51,1.55,0.69,3.68,3.87,4.1,1.45,7.46,8.93,5.24,7.36,47.15,2.34,8.07,Normal
41.14,35.55,5.31,30.96,3.73,3.22,9.39,0.32,81.35,3.0,0.77,4.91,2.96,9.09,3.14,7.29,4.11,8.66,1.71,8.2,8.87,13.65,1.31,6.94,Normal
41.65,32.18,5.03,30.47,9.0,3.94,8.09,1.79,77.1,0.01,3.56,1.28,9.98,2.64,0.33,0.84,9.57,7.43,7.03,6.57,8.53,71.02,4.56,5.75,Dry
59.74,72.12,4.03,34.46,2.53,5.83,3.22,8.63,78.65,6.8,8.34,2.31,2.98,1.73,6.41,7.02,7.35,4.97,8.67,7.06,9.55,82.59,4.14,3.49,Sensitive
109.6,58.17,5.61,36.16,7.74,5.04,6.51,6.56,97.35,9.47,3.19,7.93,5.26,3.0,2.23,4.62,0.1,9.23,8.31,0.75,7.17,85.77,0.64,7.98,Combination
32.85,68.85,5.68,30.69,7.04,5.51,5.95,2.1,70.67,5.59,2.03,6.08,1.29,5.4,9.82,4.81,6.56,6.17,4.13,6.05,5.28,84.72,2.52,3.65,Sensitive
116.73,32.13,7.18,34.52,2.85,9.59,9.9,1.08,75.48,7.13,3.71,3.38,2.4,5.69,6.66,2.95,3.91,9.68,4.46,6.09,3.55,1.34,3.53,6.12,Sensitive
25.86,86.26,5.23,35.46,4.65,8.45,3.66,4.95,81.15,9.99,6.07,7.96,5.51,2.7,0.13,5.39,0.75,9.65,8.78,0.62,1.43,14.99,3.31,7.44,Sensitive
65.7,37.93,7.48,32.03,2.76,7.87,8.35,4.67,68.54,3.11,6.84,3.38,2.0,2.46,7.29,5.63,9.22,4.75,1.13,4.57,7.21,30.71,1.46,4.37,Sensitive
71.64,63.18,4.63,33.09,8.35,9.32,9.43,2.21,55.56,8.31,3.38,6.56,7.8,5.06,4.88,8.39,2.58,8.78,7.79,1.98,9.38,66.13,3.69,8.27,Combination
21.71,27.46,4.57,32.04,1.92,6.24,3.53,9.72,21.08,4.59,7.47,8.57,4.17,7.27,8.88,0.97,5.59,1.64,9.09,1.25,6.41,38.99,1.36,6.99,Sensitive
25.4,54.27,6.5,34.6,6.9,6.25,4.83,5.33,72.89,9.89,1.98,2.75,0.79,8.45,6.04,3.87,4.89,3.57,6.23,6.74,7.45,98.88,3.33,3.65,Sensitive
76.76,52.9,7.39,34.37,7.76,4.49,4.38,0.43,56.85,3.07,4.26,2.77,2.3,6.3,5.22,5.52,4.71,2.81,5.33,2.37,7.44,21.23,4.9,4.42,Normal
94.17,59.75,5.14,32.33,9.21,8.15,5.53,8.63,85.13,1.27,1.23,5.22,2.23,1.22,3.46,9.99,2.05,0.33,1.82,6.56,2.28,68.21,2.25,4.27,Oily
38.34,38.3,4.09,36.38,1.13,9.73,0.91,7.07,23.4,2.07,1.95,2.04,3.05,6.32,6.54,8.13,4.44,2.66,2.11,2.16,4.09,97.15,3.1,6.01,Normal
15.48,46.83,7.22,35.33,5.07,6.16,9.57,2.15,99.9,7.79,3.39,5.4,7.78,2.45,5.43,6.81,5.84,1.87,3.99,1.51,8.99,58.93,1.61,6.43,Sensitive
33.46,56.87,5.87,30.3,3.53,7.82,4.32,2.43,66.26,9.99,3.86,9.39,4.42,3.35,3.66,2.05,4.09,10.0,1.55,4.17,7.01,98.18,4.78,7.88,Sensitive
42.66,59.81,6.24,34.77,1.12,7.83,5.05,9.32,42.62,4.02,9.98,3.09,5.08,3.24,9.61,8.53,1.36,9.71,7.21,4.83,6.64,47.42,2.51,3.89,Sensitive
40.14,56.12,6.16,30.67,6.82,9.11,4.0,9.3,48.93,5.87,4.44,7.01,6.96,8.69,3.62,8.17,5.29,1.26,3.98,2.27,9.87,97.5,3.16,4.35,Sensitive
22.47,28.24,5.43,31.63,8.44,7.72,0.23,8.31,47.84,8.49,4.36,1.93,5.53,0.85,4.94,3.27,1.55,7.74,8.02,9.89,1.65,88.09,1.0,8.78,Dry
104.82,72.95,4.43,35.0,6.62,1.26,1.26,6.67,91.08,9.29,8.99,9.62,3.63,0.77,7.56,8.36,7.66,5.01,0.46,7.81,2.16,11.99,2.52,4.44,Combination
10.78,42.91,4.15,32.69,5.42,0.54,7.47,8.39,42.46,7.08,0.59,4.62,4.97,7.98,0.25,8.63,3.84,5.62,1.89,3.31,2.83,65.22,4.1,5.33,Sensitive
84.36,36.78,4.81,32.37,7.75,7.25,1.35,5.93,72.04,4.96,8.91,2.66,4.41,6.29,2.89,3.02,7.41,2.0,7.49,4.86,6.16,2.63,2.43,5.18,Sensitive
83.05,54.43,5.18,36.3,8.73,6.79,8.27,6.31,23.89,1.26,1.41,5.34,4.79,7.72,5.79,7.78,1.25,6.14,4.66,5.97,6.79,10.7,1.32,4.7,Oily
37.17,85.12,4.72,32.63,1.31,1.06,8.42,2.54,51.67,4.38,0.05,0.82,5.19,7.02,4.39,1.92,0.66,2.5,0.05,5.82,3.43,45.04,2.93,4.7,Normal
20.93,25.66,6.04,31.66,4.88,3.24,4.98,8.93,73.73,7.41,5.42,5.75,4.93,5.8,8.67,0.32,4.98,7.49,5.72,1.43,8.04,16.18,1.24,7.18,Sensitive
54.28,73.23,6.72,35.34,7.47,7.17,2.96,6.04,31.85,2.84,3.91,3.2,3.53,0.92,0.69,1.6,1.65,9.07,7.36,8.36,9.69,36.25,3.94,4.63,Normal
19.78,62.08,6.75,33.17,3.41,4.34,6.77,7.45,35.35,2.18,4.46,8.38,5.26,2.7,4.07,8.87,5.72,8.91,3.29,8.37,9.54,43.73,4.18,7.75,Sensitive
11.66,75.28,6.56,34.31,2.89,7.78,3.87,7.6,26.57,0.46,9.9,4.82,6.0,7.99,9.19,9.36,2.73,2.54,7.82,7.29,6.58,86.48,4.54,6.79,Sensitive
116.05,58.2,6.06,30.88,3.0,1.01,4.27,4.84,66.39,9.79,0.54,2.62,6.96,3.8,8.86,4.4,2.86,3.99,4.99,4.62,7.15,26.24,0.82,3.36,Combination
11.95,83.09,7.33,32.15,3.86,4.95,5.24,0.83,32.93,7.29,3.15,8.59,6.98,0.92,1.63,1.88,9.27,9.99,6.97,4.09,0.88,1.92,4.07,4.97,Sensitive
11.77,75.25,7.23,33.74,6.81,9.62,6.97,0.32,24.34,9.94,5.4,9.46,2.13,2.8,0.45,2.59,4.91,2.27,6.02,0.4,1.76,72.99,1.91,4.31,Sensitive
20.3,81.68,5.41,36.37,7.85,9.24,8.24,6.44,81.66,2.28,7.67,3.81,8.67,2.24,2.94,4.86,4.16,5.75,2.15,1.88,2.47,41.61,2.4,3.63,Sensitive
87.35,89.64,4.1,32.39,1.8,8.52,9.88,0.64,94.33,3.41,0.47,9.45,1.82,7.09,1.85,5.23,4.15,5.55,0.92,1.26,1.76,52.09,0.91,6.44,Oily
104.65,59.68,5.51,33.06,6.87,5.09,5.96,8.64,66.86,1.78,7.38,7.96,5.12,5.3,1.09,9.78,3.48,8.2,3.14,2.49,8.55,10.12,3.18,3.52,Combination
105.33,39.92,7.4,31.16,3.23,9.72,9.73,6.13,44.09,4.4,7.93,6.32,5.28,0.27,7.96,7.59,3.56,2.67,4.74,4.61,9.29,53.33,4.8,3.65,Oily
16.76,89.67,4.76,33.64,4.43,3.36,9.3,0.31,93.11,3.35,7.33,9.69,8.05,4.74,7.03,5.68,0.08,5.93,4.12,5.17,2.92,15.45,3.6,5.86,Sensitive
75.73,19.32,4.39,30.8,6.44,9.98,6.7,7.0,28.16,7.83,1.31,7.43,8.4,5.97,6.05,2.68,2.29,0.21,2.65,7.73,4.61,52.91,4.03,6.26,Sensitive
70.76,58.08,6.5,34.89,1.46,5.54,2.13,9.56,48.9,1.89,0.15,9.22,8.56,3.29,1.68,7.72,1.43,0.39,3.96,4.68,1.61,70.13,0.65,4.89,Combination
98.9,39.21,5.69,34.72,9.81,1.77,9.52,9.15,65.8,2.07,5.96,7.21,2.75,9.71,2.99,2.31,6.77,0.01,7.7,0.66,0.33,94.9,1.06,8.43,Sensitive
93.34,62.88,7.14,34.52,9.17,4.8,1.33,9.54,73.51,7.79,9.49,3.6,5.96,7.91,1.68,8.31,3.68,4.31,7.89,1.48,5.35,59.63,1.88,8.04,Combination
53.62,16.29,5.31,35.63,8.65,7.88,7.25,6.25,46.35,7.28,2.26,2.2,6.94,0.4,7.56,0.46,4.69,4.51,4.61,8.07,2.79,46.72,4.52,8.14,Sensitive
63.11,39.34,4.14,35.49,6.91,1.5,0.22,4.0,42.91,4.55,6.13,8.04,0.71,6.33,3.02,9.83,1.48,9.76,0.4,2.48,3.39,32.49,2.74,7.43,Sensitive
39.67,30.62,6.69,35.59,7.84,4.96,0.54,8.23,45.73,0.02,1.61,1.66,7.0,2.22,6.69,5.1,8.58,4.65,3.87,9.73,5.31,55.3,2.02,4.58,Normal
77.81,65.07,5.33,35.49,1.57,1.05,3.51,1.95,79.61,3.54,8.58,9.9,5.67,8.91,1.75,9.17,9.11,3.87,8.98,5.48,4.26,38.69,2.83,4.45,Combination
80.99,51.44,6.76,33.64,3.57,3.4,5.57,4.81,57.47,8.29,5.38,7.04,2.62,1.08,5.57,1.38,9.72,6.06,7.74,5.72,9.78,67.57,1.96,4.56,Sensitive
62.87,71.07,4.61,30.82,6.56,5.31,6.0,1.46,39.18,6.73,3.74,0.73,7.44,7.62,8.15,4.73,7.69,3.01,1.63,9.7,0.35,27.15,4.34,5.83,Combination
111.69,63.34,4.84,36.26,7.36,8.26,8.98,4.58,89.2,7.27,6.34,4.71,1.37,1.32,0.41,1.97,8.82,9.72,0.72,1.94,6.82,97.15,1.95,3.7,Combination
86.31,88.4,7.24,30.73,2.38,8.58,5.08,2.82,68.07,0.26,9.25,5.21,2.81,8.52,7.69,8.92,7.4,8.35,6.25,3.66,4.96,16.85,1.19,8.37,Oily
94.79,28.33,4.03,34.19,6.09,0.32,4.24,6.3,28.24,8.91,7.73,2.77,4.63,1.35,3.46,0.09,3.47,5.97,0.89,6.49,9.77,68.68,4.51,8.47,Sensitive
43.68,28.34,6.71,33.01,5.97,1.61,3.7,9.91,88.38,6.91,9.03,9.14,5.83,9.7,1.74,8.11,1.6,9.89,0.1,7.36,7.62,79.95,3.61,6.91,Sensitive
87.86,49.55,4.95,30.21,9.05,7.37,3.5,3.78,30.31,4.42,1.21,3.37,8.1,4.0,3.79,8.65,3.84,9.96,2.0,8.17,3.87,79.26,1.33,3.53,Oily
37.98,86.93,5.55,36.48,5.19,4.46,6.53,2.25,51.31,0.72,3.69,7.58,8.59,6.85,7.41,7.46,6.16,6.57,2.98,1.27,1.03,23.58,2.09,3.7,Sensitive
117.74,86.67,6.75,34.87,3.15,6.32,3.36,3.54,85.36,0.62,0.17,8.83,5.2,3.19,8.65,4.21,0.78,7.35,2.03,3.04,8.65,46.86,0.79,8.33,Combination
44.63,41.65,5.12,36.19,3.3,0.2,5.1,2.65,27.58,7.58,2.75,2.44,9.21,7.77,1.22,3.71,3.12,3.04,3.75,3.76,9.71,45.72,4.89,6.63,Sensitive
90.11,45.89,6.84,33.95,2.91,9.54,7.51,7.99,72.42,0.3,0.93,8.87,4.93,5.2,9.91,7.0,5.96,1.45,9.28,3.24,1.29,40.26,4.66,8.59,Oily
11.14,47.21,5.42,35.33,7.24,9.84,3.57,0.25,98.47,9.94,3.62,4.02,1.74,0.83,7.51,8.94,1.1,0.26,2.27,2.46,8.63,0.55,2.15,6.43,Sensitive
30.78,73.51,7.45,35.59,9.9,4.39,6.46,8.59,58.46,3.96,7.89,5.35,2.49,7.91,0.93,2.35,7.41,0.45,4.93,5.08,7.14,28.92,1.76,8.7,Sensitive
13.95,39.24,4.58,32.92,4.8,1.93,0.16,7.64,59.81,7.9,1.68,5.35,5.43,2.67,8.45,3.46,6.18,4.1,1.36,8.35,9.95,9.71,2.37,5.51,Sensitive
42.92,65.58,5.4,30.51,9.27,2.95,6.68,0.55,71.96,4.95,6.0,1.32,9.95,0.21,5.61,0.52,2.89,1.54,9.95,1.58,7.61,94.57,1.79,5.8,Normal
37.58,29.67,7.28,35.87,7.32,5.78,2.14,9.96,94.17,6.25,8.58,8.0,2.27,4.89,7.17,6.1,8.24,7.18,9.87,5.73,5.24,43.06,4.31,8.28,Dry
16.14,56.54,5.28,36.36,8.48,0.42,1.14,2.46,63.69,5.32,2.45,7.31,3.19,7.69,7.85,0.48,3.39,5.61,0.5,5.83,2.97,51.48,3.87,3.01,Sensitive
64.75,73.74,4.53,30.6,7.28,8.26,2.63,4.73,67.28,6.82,6.88,6.1,6.28,9.32,8.69,8.55,1.21,9.39,2.49,7.16,4.03,7.29,1.17,3.17,Combination
28.74,81.44,4.25,30.85,9.85,1.32,7.92,0.74,28.37,5.32,2.08,8.07,0.2,7.29,2.91,8.39,3.65,1.58,5.15,6.83,2.52,57.45,2.33,3.21,Sensitive
108.86,66.87,4.9,35.59,7.75,3.02,7.42,9.69,41.76,2.08,9.35,1.41,7.38,6.48,6.37,7.5,2.43,7.73,0.8,8.84,5.22,4.08,2.22,4.58,Combination
102.42,88.49,5.31,32.63,3.42,0.71,1.47,6.87,49.12,3.09,4.44,1.77,3.25,1.82,2.8,1.33,5.45,1.79,2.21,6.32,7.16,29.74,4.12,5.26,Combination
101.12,62.58,7.43,33.01,7.97,2.99,5.46,1.28,41.68,2.2,4.63,3.4,3.89,5.88,4.36,5.95,8.65,3.97,8.6,3.5,3.02,9.75,0.54,3.07,Combination
62.98,48.32,4.09,33.91,3.05,1.65,3.78,0.84,39.27,1.78,8.55,5.02,7.62,5.94,3.96,5.16,3.36,3.34,1.23,6.9,4.97,14.03,3.27,4.13,Sensitive
109.21,76.2,6.12,30.7,2.51,0.08,2.26,8.33,91.06,9.67,0.21,9.46,3.73,8.95,2.05,9.94,3.69,3.07,7.46,7.55,1.77,61.53,1.63,5.75,Combination
35.85,72.14,4.33,31.87,1.81,9.67,8.3,2.97,72.5,4.96,0.21,8.22,0.31,9.79,0.48,8.96,9.47,1.89,1.73,6.45,4.26,8.93,3.81,7.53,Sensitive
42.71,85.28,5.21,31.26,7.72,4.03,5.64,5.25,73.5,7.64,6.49,8.51,8.78,8.33,4.5,7.97,2.94,2.88,0.38,2.52,9.48,32.25,4.43,3.18,Sensitive
46.73,34.78,5.3,31.91,9.76,5.09,3.65,8.43,56.79,5.2,0.82,8.37,5.16,5.75,4.4,9.33,8.95,5.23,1.15,8.65,9.5,39.88,2.76,7.33,Sensitive
106.4,64.9,4.74,33.89,9.05,1.35,8.76,5.7,52.81,5.56,2.68,8.23,8.89,0.63,3.29,0.96,4.27,8.19,7.93,4.59,5.53,79.22,0.59,4.64,Combination
39.24,67.08,7.05,30.24,4.52,2.64,4.69,7.08,39.08,3.69,5.66,8.21,8.41,8.35,5.3,7.81,4.78,6.86,1.68,6.67,0.59,2.75,4.43,3.49,Sensitive
62.19,86.32,6.53,31.88,3.71,0.12,4.24,0.24,52.28,4.29,4.08,9.31,8.3,2.34,9.63,9.8,2.38,7.22,5.65,3.12,8.35,74.8,4.7,5.96,Combination
71.9,43.78,5.39,32.71,7.61,1.41,8.11,7.64,32.67,3.28,9.3,0.3,9.57,4.76,0.21,3.14,7.59,8.85,4.0,0.45,8.23,95.88,2.95,5.78,Sensitive
61.36,31.82,5.66,34.4,6.58,6.73,6.61,4.21,68.98,3.04,9.09,2.34,1.64,9.82,9.88,0.22,5.85,1.96,2.0,2.49,7.98,9.28,1.9,4.46,Sensitive
88.11,76.43,5.21,32.07,5.52,3.94,6.55,2.49,81.56,6.77,6.58,2.57,2.18,2.57,8.2,9.76,1.91,3.23,6.39,4.97,0.21,13.96,4.34,4.02,Combination
51.34,84.48,6.62,36.24,4.12,8.97,8.15,3.47,71.2,5.08,6.21,6.68,9.9,4.61,1.53,9.89,2.01,3.44,5.82,7.38,9.48,4.53,3.74,3.72,Sensitive
78.15,54.17,5.05,30.03,9.79,3.97,6.79,7.35,71.9,5.2,6.75,3.32,2.58,6.64,7.05,4.59,3.84,5.1,3.79,9.82,7.47,77.63,4.32,5.6,Sensitive
92.87,32.81,6.27,36.19,9.12,5.78,6.89,4.95,77.67,9.26,8.73,1.83,3.95,9.34,5.45,6.03,7.92,2.26,2.39,9.62,1.84,38.14,2.82,7.52,Sensitive
110.9,51.13,5.6,30.55,2.71,7.73,1.93,2.97,27.93,1.05,6.75,9.62,5.62,3.79,0.67,5.16,7.64,8.68,7.84,4.4,4.13,89.43,4.53,8.36,Oily
38.29,80.94,6.94,30.16,5.53,9.45,1.09,3.22,53.57,1.98,9.73,6.91,6.49,6.81,7.53,9.69,8.54,5.2,5.08,1.5,3.72,67.88,3.94,3.61,Sensitive
21.24,40.42,6.26,31.43,1.4,6.38,1.85,3.72,67.93,6.23,7.34,7.57,7.4,3.25,7.84,2.43,4.04,2.37,7.31,7.33,4.4,74.11,0.94,3.23,Sensitive
119.77,24.67,4.7,33.9,1.38,8.16,2.66,4.29,74.27,5.6,7.38,7.16,5.64,5.45,5.18,9.06,5.16,3.91,2.38,2.95,1.12,83.72,4.4,8.73,Oily
64.59,56.12,5.16,32.72,4.12,5.21,4.76,4.84,93.78,2.77,3.84,3.62,8.91,1.47,0.14,3.77,3.28,7.55,4.59,6.63,2.09,71.01,1.47,3.18,Combination
117.45,43.92,6.12,34.27,4.13,1.44,4.66,5.5,48.14,8.65,3.54,9.34,3.62,5.27,5.49,2.27,3.53,1.4,5.33,1.95,3.21,34.45,3.7,7.01,Sensitive
113.47,54.18,6.77,33.45,1.9,2.29,2.12,8.09,62.95,8.6,2.81,7.34,2.66,2.48,1.91,9.13,4.48,4.91,0.23,8.18,7.08,80.41,4.37,4.69,Sensitive
56.81,24.73,4.06,33.25,7.34,8.34,4.49,8.91,25.72,6.49,1.97,6.92,7.88,5.59,0.1,5.59,4.29,8.54,2.31,6.43,9.26,25.69,1.09,5.12,Sensitive
52.66,23.4,5.25,33.26,9.36,0.93,5.85,6.5,85.24,8.98,4.26,3.34,3.42,1.97,8.69,0.22,4.62,3.38,9.29,1.82,6.12,56.62,1.59,5.6,Sensitive
58.81,34.31,4.61,35.09,2.47,7.33,8.28,3.59,35.58,5.04,1.12,3.24,8.16,5.25,5.33,1.47,1.45,6.28,3.21,3.14,5.21,49.73,1.5,4.3,Normal
